7,9|4,0,573;1,2,892;5,0,109;0,2,381;1,0,311;2,2,210;5,1,155;1,2,856;5,2,272;2,0,146;5,0,63;5,0,95;0,1,242;4,0,499;4,1,407;3,2,1028;1,1,640;5,1,206;2,1,172;0,0,275;1,1,767;1,2,850;2,2,183;4,2,874;1,2,992;5,2,178;5,1,109;1,2,512|1
2,2|0,0,404;3,0,932;3,0,526;4,0,618;4,0,514;4,0,863;4,0,508|1
4,2|4,0,448;5,0,109;4,0,878;5,0,29;5,0,28;4,0,504;4,0,576;4,1,1336|1
8,1|4,1,916;0,1,448;0,0,455;0,2,465;0,1,194;0,1,574;0,2,294;4,1,1231;0,2,385;4,2,1185;0,1,574;4,2,1553;4,2,560;0,0,287;4,0,846;0,0,353;0,2,321|1
0,3|3,0,1129|1
1,1|2,0,246;0,0,339;4,1,800|1
4,1|3,1,1297|1
4,2|4,1,951;2,0,165;5,1,221;3,0,930|1
8,4|2,0,339;2,0,27;0,0,249;2,0,183;1,0,948;0,0,33;0,0,289;0,0,221;3,0,1153;3,0,793;1,0,707|0
5,1|1,0,382;1,0,860;1,0,535;1,0,601;1,0,522;1,0,650;1,0,839;1,0,622;1,0,537;1,0,649;1,0,544;1,0,847;1,0,288|0
4,1|1,0,1605;1,0,838;1,0,686;1,0,1009;1,0,639;1,0,606;1,0,862|1
5,1|2,0,210;5,0,54;5,0,153;5,0,138;2,0,186;5,0,145|0
0,117|3,1,1392;0,0,155;4,1,867;4,2,1561;3,0,1634;3,0,1500;4,2,954;2,0,246;3,2,2305;0,1,501;3,1,1915;2,1,27;2,0,200;3,1,2250;4,2,1201;4,2,1973;4,1,540;0,0,141;2,1,169;4,2,1323;3,1,2143;0,2,391|1
0,2|1,0,942;3,0,863|1
5,5|3,1,1345;3,0,390;3,2,1255;2,2,273;2,2,196;2,2,119;3,2,1345;2,2,132;2,1,27;3,2,1257|1
6,4|3,1,1276;3,0,550;2,1,137;3,0,919;0,1,473;2,1,159;0,0,119;3,0,672;3,1,608|1
